frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
42,1.68,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11599999999999999,0.0,0.004,0.034,0.0,0.018,0.01,0.002,0.0,0.08199999999999999,0.028000000000000004,0.0
43,1.72,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11200000000000002,0.0,0.012,0.04,0.0,0.016,0.012,0.0,0.0,0.088,0.032,0.0
44,1.76,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.0,0.014000000000000002,0.04,0.0,0.014000000000000002,0.012,0.0,0.0,0.10200000000000001,0.024,0.0
45,1.8,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.11200000000000002,0.0,0.018,0.038,0.0,0.014000000000000002,0.004,0.002,0.0,0.11000000000000001,0.012,0.002
46,1.84,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.11200000000000002,0.0,0.016,0.038,0.002,0.02,0.006,0.002,0.0,0.11599999999999999,0.01,0.002
47,1.88,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.088,0.0,0.018,0.036,0.002,0.02,0.006,0.002,0.0,0.10200000000000001,0.02,0.002
48,1.92,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.014000000000000002,0.034,0.002,0.014000000000000002,0.008,0.0,0.002,0.10400000000000001,0.026000000000000002,0.0
49,1.96,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.004,0.014000000000000002,0.032,0.002,0.004,0.006,0.0,0.002,0.11000000000000001,0.032,0.0
50,2.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08399999999999999,0.004,0.01,0.032,0.002,0.006,0.02,0.0,0.008,0.12,0.022,0.02
51,2.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.004,0.014000000000000002,0.036,0.002,0.008,0.02,0.0,0.008,0.122,0.02,0.02
