frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
100,4.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.002,0.057999999999999996,0.0,0.064,0.10400000000000001,0.002,0.0,0.012,0.264,0.032,0.014000000000000002,0.0,0.014000000000000002,0.03,0.016,0.008
101,4.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.002,0.062,0.0,0.064,0.128,0.006,0.002,0.012,0.254,0.03,0.014000000000000002,0.0,0.018,0.04,0.016,0.018
102,4.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.002,0.06999999999999999,0.0,0.06999999999999999,0.10600000000000001,0.006,0.008,0.014000000000000002,0.248,0.024,0.012,0.0,0.02,0.052000000000000005,0.04,0.018
103,4.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.06,0.0,0.066,0.078,0.002,0.008,0.01,0.236,0.014000000000000002,0.006,0.002,0.016,0.04,0.048,0.01
104,4.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.06,0.002,0.06999999999999999,0.036,0.0,0.006,0.008,0.22400000000000003,0.01,0.012,0.026000000000000002,0.006,0.034,0.062,0.0
105,4.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.012,0.004,0.052000000000000005,0.002,0.064,0.036,0.002,0.006,0.0,0.24,0.016,0.02,0.032,0.002,0.032,0.038,0.01
106,4.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.014000000000000002,0.0,0.05,0.002,0.06,0.048,0.002,0.006,0.0,0.24,0.026000000000000002,0.038,0.03,0.004,0.03,0.014000000000000002,0.01
107,4.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.048,0.0,0.06,0.078,0.002,0.008,0.0,0.248,0.032,0.05,0.006,0.004,0.022,0.004,0.016
108,4.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.06,0.0,0.057999999999999996,0.086,0.0,0.002,0.0,0.21800000000000003,0.041999999999999996,0.05,0.014000000000000002,0.002,0.02,0.004,0.016
109,4.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.074,0.008,0.062,0.122,0.0,0.004,0.0,0.202,0.05600000000000001,0.032,0.024,0.0,0.032,0.006,0.016
110,4.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.008,0.002,0.088,0.012,0.057999999999999996,0.136,0.0,0.002,0.0,0.194,0.05,0.012,0.024,0.0,0.05,0.004,0.01
111,4.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.01,0.002,0.08,0.012,0.062,0.156,0.0,0.002,0.0,0.20600000000000002,0.03,0.01,0.012,0.0,0.066,0.014000000000000002,0.0
112,4.48,0.98,1,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.08199999999999999,0.004,0.062,0.142,0.0,0.0,0.008,0.236,0.004,0.03,0.008,0.0,0.068,0.028000000000000004,0.006
113,4.52,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.078,0.0,0.064,0.126,0.0,0.0,0.008,0.22999999999999998,0.006,0.03,0.008,0.002,0.062,0.024,0.006
114,4.56,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.088,0.0,0.064,0.10600000000000001,0.0,0.0,0.008,0.238,0.01,0.022,0.008,0.002,0.048,0.02,0.006
115,4.6,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.09,0.002,0.06,0.10200000000000001,0.0,0.008,0.006,0.238,0.024,0.006,0.0,0.006,0.038,0.014000000000000002,0.0
116,4.64,0.98,1,0.0,0.0,0.0,0.0,0.0,0.014000000000000002,0.014000000000000002,0.092,0.022,0.057999999999999996,0.098,0.0,0.012,0.006,0.23399999999999999,0.041999999999999996,0.026000000000000002,0.0,0.008,0.048,0.024,0.0
117,4.68,0.98,1,0.0,0.0,0.0,0.0,0.0,0.01,0.014000000000000002,0.08399999999999999,0.022,0.062,0.094,0.002,0.022,0.006,0.22999999999999998,0.04,0.03,0.0,0.01,0.036,0.032,0.006
118,4.72,0.98,1,0.0,0.0,0.0,0.0,0.0,0.016,0.026000000000000002,0.08199999999999999,0.03,0.06,0.09,0.002,0.02,0.0,0.21200000000000002,0.036,0.034,0.0,0.006,0.026000000000000002,0.041999999999999996,0.006
119,4.76,0.98,1,0.0,0.0,0.0,0.0,0.0,0.016,0.014000000000000002,0.064,0.018,0.054000000000000006,0.08199999999999999,0.002,0.014000000000000002,0.0,0.23199999999999998,0.014000000000000002,0.026000000000000002,0.0,0.002,0.002,0.032,0.006
