frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
40,1.6,0.98,1,0.0,0.0,0.0,0.0,0.0,0.04,0.004,0.34199999999999997,0.004,0.0,0.122,0.0,0.006,0.0,0.158,0.008,0.018,0.0,0.0,0.134,0.098,0.0
41,1.64,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03,0.004,0.344,0.004,0.0,0.11000000000000001,0.0,0.0,0.0,0.154,0.008,0.022,0.0,0.0,0.128,0.09,0.0
42,1.68,0.98,1,0.0,0.0,0.0,0.0,0.0,0.014000000000000002,0.022,0.32999999999999996,0.006,0.0,0.1,0.0,0.0,0.0,0.142,0.016,0.052000000000000005,0.0,0.0,0.142,0.08399999999999999,0.0
43,1.72,0.98,1,0.0,0.0,0.0,0.0,0.0,0.012,0.036,0.32799999999999996,0.008,0.0,0.072,0.0,0.0,0.0,0.11599999999999999,0.016,0.062,0.0,0.0,0.152,0.092,0.0
44,1.76,0.98,1,0.0,0.0,0.0,0.0,0.0,0.016,0.036,0.33599999999999997,0.008,0.0,0.078,0.0,0.0,0.0,0.122,0.016,0.072,0.0,0.0,0.158,0.11000000000000001,0.0
45,1.8,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.33999999999999997,0.002,0.0,0.074,0.0,0.0,0.0,0.148,0.008,0.054000000000000006,0.0,0.0,0.156,0.122,0.0
46,1.84,0.98,1,0.0,0.0,0.0,0.0,0.0,0.024,0.002,0.33399999999999996,0.004,0.012,0.078,0.0,0.0,0.0,0.21800000000000003,0.0,0.076,0.002,0.026000000000000002,0.122,0.09,0.002
47,1.88,0.98,1,0.0,0.0,0.0,0.0,0.0,0.014000000000000002,0.002,0.32599999999999996,0.004,0.024,0.096,0.0,0.004,0.002,0.34199999999999997,0.0,0.136,0.014000000000000002,0.062,0.068,0.057999999999999996,0.024
48,1.92,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33799999999999997,0.004,0.041999999999999996,0.122,0.0,0.004,0.01,0.43600000000000005,0.0,0.202,0.03,0.098,0.01,0.026000000000000002,0.03
49,1.96,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.348,0.0,0.041999999999999996,0.156,0.0,0.006,0.014000000000000002,0.484,0.01,0.268,0.05,0.098,0.0,0.024,0.052000000000000005
50,2.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.36,0.0,0.044,0.172,0.0,0.024,0.012,0.462,0.014000000000000002,0.306,0.054000000000000006,0.088,0.0,0.014000000000000002,0.036
51,2.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.36,0.0,0.038,0.18,0.0,0.024,0.004,0.44800000000000006,0.014000000000000002,0.32,0.057999999999999996,0.072,0.0,0.008,0.038
52,2.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.358,0.0,0.028000000000000004,0.16,0.0,0.022,0.0,0.426,0.022,0.298,0.076,0.068,0.0,0.008,0.014000000000000002
53,2.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.028000000000000004,0.352,0.0,0.018,0.118,0.0,0.0,0.0,0.414,0.036,0.274,0.10200000000000001,0.068,0.0,0.004,0.008
54,2.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.028000000000000004,0.354,0.0,0.014000000000000002,0.08199999999999999,0.0,0.004,0.0,0.394,0.052000000000000005,0.298,0.122,0.078,0.0,0.004,0.002
55,2.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.358,0.0,0.012,0.086,0.0,0.012,0.0,0.39,0.036,0.318,0.11399999999999999,0.08,0.0,0.0,0.012
56,2.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372,0.0,0.018,0.11200000000000002,0.0,0.016,0.0,0.40199999999999997,0.02,0.324,0.11000000000000001,0.06999999999999999,0.0,0.0,0.022
57,2.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.382,0.0,0.014000000000000002,0.136,0.0,0.012,0.0,0.41600000000000004,0.002,0.286,0.11399999999999999,0.054000000000000006,0.0,0.0,0.03
58,2.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.394,0.0,0.018,0.13,0.0,0.014000000000000002,0.0,0.41600000000000004,0.012,0.264,0.11000000000000001,0.05,0.0,0.0,0.018
59,2.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.398,0.0,0.012,0.11399999999999999,0.0,0.018,0.0,0.39,0.026000000000000002,0.258,0.11000000000000001,0.054000000000000006,0.0,0.002,0.008
60,2.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.4,0.0,0.018,0.096,0.0,0.018,0.0,0.366,0.044,0.248,0.098,0.05600000000000001,0.0,0.002,0.018
61,2.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396,0.0,0.016,0.1,0.0,0.016,0.0,0.356,0.057999999999999996,0.246,0.11200000000000002,0.044,0.0,0.002,0.028000000000000004
62,2.48,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41200000000000003,0.0,0.022,0.096,0.012,0.022,0.0,0.362,0.054000000000000006,0.24,0.10800000000000001,0.034,0.0,0.006,0.038
63,2.52,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414,0.0,0.022,0.1,0.022,0.028000000000000004,0.0,0.366,0.044,0.23399999999999999,0.088,0.024,0.0,0.006,0.026000000000000002
64,2.56,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41600000000000004,0.0,0.028000000000000004,0.06999999999999999,0.028000000000000004,0.034,0.0,0.358,0.036,0.23199999999999998,0.054000000000000006,0.036,0.0,0.006,0.016
65,2.6,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396,0.0,0.018,0.046,0.016,0.034,0.0,0.354,0.032,0.23199999999999998,0.03,0.044,0.0,0.0,0.004
66,2.64,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40199999999999997,0.0,0.016,0.038,0.012,0.054000000000000006,0.0,0.366,0.036,0.256,0.032,0.057999999999999996,0.0,0.0,0.0
67,2.68,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.418,0.0,0.012,0.038,0.02,0.062,0.0,0.382,0.041999999999999996,0.26,0.041999999999999996,0.054000000000000006,0.0,0.0,0.0
68,2.72,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438,0.0,0.016,0.041999999999999996,0.022,0.06,0.0,0.388,0.046,0.258,0.052000000000000005,0.052000000000000005,0.0,0.0,0.0
69,2.76,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.454,0.0,0.014000000000000002,0.04,0.028000000000000004,0.05600000000000001,0.0,0.384,0.034,0.258,0.057999999999999996,0.046,0.0,0.008,0.0
70,2.8,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.44800000000000006,0.0,0.014000000000000002,0.05600000000000001,0.024,0.05600000000000001,0.0,0.38,0.014000000000000002,0.268,0.066,0.05,0.0,0.016,0.0
71,2.84,0.98,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.446,0.0,0.016,0.088,0.036,0.046,0.0,0.388,0.0,0.27999999999999997,0.076,0.046,0.0,0.016,0.0
72,2.88,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.42800000000000005,0.0,0.02,0.092,0.034,0.05,0.0,0.392,0.012,0.266,0.074,0.038,0.0,0.008,0.0
73,2.92,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.42000000000000004,0.0,0.014000000000000002,0.088,0.03,0.038,0.0,0.396,0.018,0.22999999999999998,0.048,0.03,0.0,0.0,0.0
74,2.96,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.414,0.0,0.014000000000000002,0.074,0.022,0.04,0.0,0.374,0.018,0.194,0.046,0.028000000000000004,0.0,0.0,0.0
75,3.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.414,0.0,0.012,0.088,0.022,0.024,0.0,0.376,0.006,0.178,0.05600000000000001,0.038,0.0,0.008,0.0
76,3.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.418,0.0,0.008,0.086,0.016,0.024,0.0,0.372,0.008,0.174,0.068,0.048,0.0,0.008,0.0
77,3.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.418,0.0,0.006,0.09,0.01,0.026000000000000002,0.0,0.374,0.012,0.16599999999999998,0.057999999999999996,0.05600000000000001,0.0,0.012,0.0
78,3.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42400000000000004,0.0,0.008,0.098,0.002,0.046,0.0,0.356,0.016,0.16,0.036,0.054000000000000006,0.0,0.01,0.0
79,3.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.41600000000000004,0.0,0.008,0.10400000000000001,0.002,0.05,0.0,0.346,0.008,0.16599999999999998,0.044,0.046,0.018,0.032,0.0
80,3.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.40199999999999997,0.0,0.004,0.086,0.002,0.048,0.0,0.346,0.01,0.18,0.028000000000000004,0.046,0.018,0.034,0.0
81,3.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.386,0.0,0.002,0.068,0.0,0.03,0.0,0.344,0.016,0.176,0.02,0.046,0.018,0.028000000000000004,0.0
82,3.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.008,0.01,0.392,0.0,0.008,0.086,0.006,0.024,0.0,0.32799999999999996,0.024,0.16999999999999998,0.018,0.046,0.0,0.006,0.002
83,3.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.008,0.01,0.398,0.0,0.008,0.10600000000000001,0.006,0.016,0.0,0.31,0.02,0.16599999999999998,0.022,0.036,0.0,0.012,0.002
84,3.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.01,0.398,0.0,0.006,0.096,0.008,0.01,0.0,0.31,0.01,0.16599999999999998,0.022,0.024,0.0,0.018,0.002
85,3.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.088,0.01,0.0,0.0,0.314,0.008,0.16399999999999998,0.014000000000000002,0.012,0.008,0.032,0.0
86,3.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.398,0.0,0.0,0.11200000000000002,0.012,0.0,0.0,0.316,0.016,0.16,0.014000000000000002,0.004,0.008,0.02,0.0
